# from: https://chisel.weirdgloop.org/
id,name,configName,exchangeable,members,stackable,values,examine,weight,actInv,actWorld,params,notedId,placeholderId,model,category
0,Dwarf remains,mcannonremains,FALSE,TRUE,0,1,The body of a Dwarf savaged by Goblins.,16000,Destroy,Take,,-1,17851,2595,0
1,Toolkit,mcannontoolkit,FALSE,TRUE,0,1,Good for repairing broken cannons.,453,Destroy,Take,,-1,17852,2679,0
2,Cannonball,mcannonball,TRUE,TRUE,1,5,Ammo for the Dwarf Cannon.,0,Drop,Take,,-1,17853,2413,1176
3,Nulodion's notes,nulodions_notes,FALSE,TRUE,0,1,Construction notes for Dwarf cannon ammo.,28,"Read, Destroy",Take,,-1,17854,2794,0
4,Ammo mould,ammo_mould,FALSE,TRUE,0,5,Used to make cannon ammunition.,4535,Drop,Take,,-1,17855,2706,0
5,Instruction manual,mcannonbook,FALSE,TRUE,0,10,An old note book.,510,"Read, Drop",Take,,-1,17856,2794,0
6,Cannon base,twpart1,TRUE,TRUE,0,187500,The cannon is built on this.,10000,"Set-up, Drop",Take,,7,17857,2461,75
7,null,cert_twpart1,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,6,-1,0,0
8,Cannon stand,twpart2,TRUE,TRUE,0,187500,The mounting for the multicannon.,907,Drop,Take,,9,17858,2642,75
9,null,cert_twpart2,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,8,-1,0,0
10,Cannon barrels,twpart3,TRUE,TRUE,0,187500,The barrels of the multicannon.,15000,Drop,Take,,11,17859,2361,75
11,null,cert_twpart3,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,10,-1,0,0
12,Cannon furnace,twpart4,TRUE,TRUE,0,187500,This powers the multicannon.,5000,Drop,Take,,13,17860,2769,75
13,null,cert_twpart4,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,12,-1,0,0
14,Railing,mcannonrailing1_obj,FALSE,TRUE,1,1,A metal railing replacement.,0,Drop,Take,,-1,17861,4877,0
15,Holy table napkin,holy_table_napkin,FALSE,TRUE,0,10,A cloth given to me by Sir Galahad.,28,Drop,Take,,-1,16938,2443,0
16,Magic whistle,magic_whistle,FALSE,TRUE,0,10,A small tin whistle.,5,"Blow, Drop",Take,,-1,16939,2433,0
17,Grail bell,grail_bell,FALSE,TRUE,0,10,I wonder what happens when I ring it?,28,"Ring, Drop",Take,,-1,16940,2536,0
18,Magic gold feather,magic_golden_feather,FALSE,TRUE,0,2,It will point the way for me.,5,"Blow-on, Drop",Take,,-1,16941,2476,0
19,Holy grail,holy_grail,FALSE,TRUE,0,3,A holy and powerful artefact.,85,Destroy,Take,,-1,16942,2623,0
20,White cog,whitecog,FALSE,TRUE,0,1,A cog from some machinery.,1000,Drop,Take,,-1,16599,2351,0
21,Black cog,blackcog,FALSE,TRUE,0,1,A cog from some machinery.,1000,Drop,Take,,-1,16600,2351,0
22,Blue cog,bluecog,FALSE,TRUE,0,1,A cog from some machinery.,1000,Drop,Take,,-1,16601,2351,0
23,Red cog,redcog,FALSE,TRUE,0,1,A cog from some machinery.,1000,Drop,Take,,-1,16602,2351,0
24,Rat poison,rat_poison,FALSE,TRUE,0,1,Doesn't look very tasty.,141,Drop,Take,,-1,16603,2714,0
25,Red vine worm,red_vine_worm,FALSE,TRUE,1,1,Wormy.,0,Drop,Take,,-1,16943,2519,0
26,Fishing trophy,hemenster_fishing_trophy,FALSE,TRUE,0,1,Hemenster fishing contest trophy.,85,Drop,Take,,-1,16944,14343,0
27,Fishing pass,fishing_competition_pass,FALSE,TRUE,0,1,Pass to the Hemenster fishing contest.,6,Drop,Take,,-1,16945,14342,0
28,Insect repellent,insect_repellent,TRUE,TRUE,0,3,Drives away all known 6 legged creatures.,28,Drop,Take,,29,16521,2684,0
29,null,cert_insect_repellent,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,28,-1,0,0
30,Bucket of wax,bucket_wax,TRUE,TRUE,0,6,It's a bucket of wax.,2500,Drop,Take,,31,16522,2504,0
31,null,cert_bucket_wax,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,30,-1,0,0
32,Lit black candle,lit_black_candle,FALSE,TRUE,0,3,A lit spooky candle.,28,"Extinguish, Drop",Take,,-1,16523,2575,0
33,Lit candle,lit_candle,FALSE,TRUE,0,3,A lit candle.,28,"Extinguish, Drop",Take,,-1,16524,2575,0
34,Null,cert_lit_candle,FALSE,FALSE,1,0,null,0,Drop,Take,,-1,-1,2575,15
35,Excalibur,excalibur,FALSE,TRUE,0,200,This used to belong to King Arthur.,2267,"Wield, Drop",Take,"20, 29, -2, 0, 0, 0, 3, 2, 1, 0, 25, 0, 0, 5",-1,16525,2458,21
36,Candle,unlit_candle,TRUE,TRUE,0,3,A candle.,28,Drop,Take,,37,16526,2467,0
37,null,cert_unlit_candle,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,36,-1,0,0
38,Black candle,unlit_black_candle,FALSE,TRUE,0,3,A spooky candle.,28,Drop,Take,,-1,16527,2467,0
39,Bronze arrowtips,bronze_arrowheads,TRUE,TRUE,1,1,I can make some arrows with these.,0,Drop,Take,,-1,18222,2551,968
40,Iron arrowtips,iron_arrowheads,TRUE,TRUE,1,2,I can make some arrows with these.,0,Drop,Take,,-1,18223,2551,968
41,Steel arrowtips,steel_arrowheads,TRUE,TRUE,1,6,I can make some arrows with these.,0,Drop,Take,,-1,18224,2551,968
42,Mithril arrowtips,mithril_arrowheads,TRUE,TRUE,1,16,I can make some arrows with these.,0,Drop,Take,,-1,18225,2551,968
43,Adamant arrowtips,adamant_arrowheads,TRUE,TRUE,1,40,I can make some arrows with these.,0,Drop,Take,,-1,18226,2551,968
44,Rune arrowtips,rune_arrowheads,TRUE,TRUE,1,200,I can make some arrows with these.,0,Drop,Take,,-1,18227,2551,968
45,Opal bolt tips,opal_bolttips,TRUE,TRUE,1,7,Opal bolt tips.,0,Drop,Take,,-1,15182,16857,530
46,Pearl bolt tips,pearl_bolttips,TRUE,TRUE,1,12,Pearl bolt tips.,0,Drop,Take,,-1,15183,16857,530
47,Barb bolttips,barbed_bolttips,TRUE,TRUE,1,95,I can make bolts with these.,0,Drop,Take,,-1,15184,2445,530
48,Longbow (u),unstrung_longbow,TRUE,TRUE,0,60,I need to find a string for this.,1332,Drop,Take,"9, 10",49,18229,2401,0
49,null,cert_unstrung_longbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,48,-1,0,0
50,Shortbow (u),unstrung_shortbow,TRUE,TRUE,0,23,I need to find a string for this.,992,Drop,Take,"9, 5",51,18230,2435,0
51,null,cert_unstrung_shortbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,50,-1,0,0
52,Arrow shaft,arrow_shaft,TRUE,TRUE,1,1,A wooden arrow shaft.,0,Drop,Take,,-1,18231,9032,0
53,Headless arrow,headless_arrow,TRUE,TRUE,1,1,A wooden arrow shaft with flights attached.,0,Drop,Take,,-1,18232,9028,0
54,Oak shortbow (u),unstrung_oak_shortbow,TRUE,TRUE,0,50,An unstrung oak shortbow; I need a bowstring for this.,992,Drop,Take,"9, 20",55,18233,2435,0
55,null,cert_unstrung_oak_shortbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,54,-1,0,0
56,Oak longbow (u),unstrung_oak_longbow,TRUE,TRUE,0,80,An unstrung oak longbow; I need a bowstring for this.,1332,Drop,Take,"9, 25",57,18234,2401,0
57,null,cert_unstrung_oak_longbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,56,-1,0,0
58,Willow longbow (u),unstrung_willow_longbow,TRUE,TRUE,0,160,An unstrung willow longbow; I need a bowstring for this.,1332,Drop,Take,"9, 40",59,18235,2401,0
59,null,cert_unstrung_willow_longbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,58,-1,0,0
60,Willow shortbow (u),unstrung_willow_shortbow,TRUE,TRUE,0,100,An unstrung willow shortbow; I need a bowstring for this.,992,Drop,Take,"9, 35",61,18236,2435,0
61,null,cert_unstrung_willow_shortbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,60,-1,0,0
62,Maple longbow (u),unstrung_maple_longbow,TRUE,TRUE,0,320,An unstrung maple longbow; I need a bowstring for this.,1332,Drop,Take,"9, 55",63,18237,2401,0
